,order,f_category,diff_category,imp_category,RT,WC,B,participant,CB
49,1,0.29536039768019884,4.0,10.0,8.226245959998778,0.0,1.0,2,1.0
50,1,0.14454443194600675,0.0,10.0,7.235613959997863,0.09090909090909091,0.9090909090909091,2,0.9090909090909091
51,1,0.38781038374717836,0.0,7.0,4.589878240001781,0.0,1.0,2,1.0
55,1,0.18149882903981265,-0.0,10.0,3.5396368600013375,0.5,0.5,2,0.5
57,1,0.07154471544715447,0.0,10.0,4.324257200001739,0.15384615384615385,0.8461538461538461,2,0.8461538461538461
60,1,0.16393442622950818,-0.0,10.0,13.67120056000033,0.0,1.0,2,1.0
62,1,0.27423059255856685,10.0,10.0,5.257871380003053,0.0625,0.9375,2,0.9375
63,1,0.2996632996632997,6.0,10.0,6.193734559999939,0.125,0.875,2,0.875
64,1,0.32441471571906355,0.0,10.0,6.118044259997987,0.0,1.0,2,1.0
65,1,0.30247479376718606,10.0,10.0,25.593644280001172,0.06976744186046512,0.9302325581395349,2,0.9302325581395349
66,1,0.298372513562387,0.0,3.0,7.758316359999299,0.02127659574468085,0.9787234042553191,2,0.9787234042553191
67,1,0.44459898006490495,0.0,10.0,7.256591819999812,0.25,0.75,2,0.75
70,1,0.2934716290420989,-0.0,10.0,2.60040176000075,0.0,1.0,2,1.0
71,1,0.3003781739600216,-0.0,10.0,2.8222120800019184,0.0,1.0,2,1.0
72,1,0.23602794411177647,8.0,10.0,7.714441340003759,0.034482758620689655,0.9655172413793104,2,0.9655172413793104
73,1,0.2648034107058266,0.0,10.0,8.988006120001955,0.10256410256410256,0.8974358974358975,2,0.8974358974358975
74,1,0.5956072351421189,10.0,10.0,12.980881160001445,0.07407407407407407,0.9259259259259259,2,0.9259259259259259
75,1,0.19731543624161071,0.0,8.0,4.211906360000285,0.07142857142857142,0.9285714285714286,2,0.9285714285714286
76,1,0.20000000000000004,6.0,6.0,4.7537596200036205,0.038461538461538464,0.9615384615384616,2,0.9615384615384616
77,1,0.3094315245478036,0.0,10.0,5.717425700002423,0.06666666666666667,0.9333333333333333,2,0.9333333333333333
78,1,0.1551362683438155,0.0,10.0,3.3351095800026087,0.0,1.0,2,1.0
79,1,0.48474945533769065,-0.0,10.0,3.5319734800013975,0.2222222222222222,0.7777777777777778,2,0.7777777777777778
80,1,0.44695745826602046,0.0,10.0,3.0781140600010986,0.0,1.0,2,1.0
83,1,0.3521865889212828,0.0,10.0,3.658858799999507,0.0,1.0,2,1.0
84,1,0.18551461245235068,6.0,10.0,6.99593434000235,0.0,1.0,2,1.0
